S.No.,States/UTs,No. of Animals in Milk - (000 nos.) - 2008-09,No. of Animals in Milk - (000 nos.) - 2009-10,No. of Animals in Milk - (000 nos.) - 2010-11,No. of Animals in Milk - (000 nos.) - 2011-12,No. of Animals in Milk - (000 nos.) - 2012-13,Average Yield per Animal in Milk - (kg/day) - 2008-09,Average Yield per Animal in Milk - (kg/day) - 2009-10,Average Yield per Animal in Milk - (kg/day) - 2010-11,Average Yield per Animal in Milk - (kg/day) - 2011-12,Average Yield per Animal in Milk - (kg/day) - 2012-13,Estimates of Milk Production - (000 tonnes) - 2008-09,Estimates of Milk Production - (000 tonnes) - 2009-10,Estimates of Milk Production - (000 tonnes) - 2010-11,Estimates of Milk Production - (000 tonnes) - 2011-12,Estimates of Milk Production - (000 tonnes) - 2012-13
1,Andhra Pradesh,4910.10,5289.54,5474.40,5788.55,5501.13,3.93,3.94,4.05,4.11,4.51,7039.71,7601.10,8100.52,8709.60,9061.71
2,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Assam,133.00,131.00,124.00,116.00,117.00,2.06,2.05,2.22,2.75,2.85,100.10,97.97,100.61,116.92,121.62
4,Bihar,1922.00,1961.00,1954.00,1943.00,2013.28,3.88,3.92,3.92,3.94,3.95,2721.94,2807.23,2797.92,2805.00,2899.44
5,Chhattisgarh,200.85,207.66,192.38,206.09,207.92,4.19,4.20,4.88,4.88,4.94,306.87,318.64,342.96,368.33,375.12
6,Goa,21.03,21.97,22.10,19.00,21.81,3.26,2.92,2.81,2.55,2.44,25.01,23.44,22.66,17.74,19.40
7,Gujarat,3118.59,3211.28,3298.22,3332.24,3383.18,4.49,4.51,4.58,4.70,4.78,5109.77,5285.08,5513.64,5727.23,5900.17
8,Haryana,2039.59,2063.27,2089.83,2152.63,2217.82,6.42,6.67,6.87,7.10,7.35,4780.12,5020.11,5238.83,5596.19,5946.62
9,Himachal Pradesh,332.14,242.00,295.84,311.29,306.62,2.65,3.33,3.55,3.42,3.56,321.27,294.49,383.76,389.99,398.75
10,Jammu and Kashmir,163.20,165.70,172.20,175.00,166.04,4.94,4.94,4.95,4.95,4.84,294.33,298.96,310.81,317.00,293.52
11,Jharkhand,286.46,312.66,308.18,317.58,304.71,5.41,5.44,5.75,5.58,5.69,565.76,620.81,647.13,648.47,633.05
12,Karnataka,1572.94,1617.30,1677.00,1750.34,1802.56,2.48,2.55,2.59,2.61,2.65,1420.95,1505.89,1582.90,1674.59,1740.80
13,Kerala,17.00,24.70,15.33,13.00,40.66,5.85,4.86,3.76,5.68,2.54,36.31,43.77,21.04,27.02,37.70
14,Madhya Pradesh,2872.50,2914.00,3028.50,3067.20,3109.30,3.49,3.53,3.56,3.60,3.80,3661.23,3757.73,3935.23,4041.34,4309.19
15,Maharashtra,2395.00,2412.00,2422.00,2434.00,2448.00,3.77,3.81,3.93,4.01,4.14,3293.89,3355.13,3473.35,3571.39,3701.85
16,Manipur,12.62,12.52,12.67,10.43,10.99,3.00,3.02,3.01,3.21,3.21,13.82,13.79,13.94,12.27,12.89
