S. No.,States/UTs,No. of Animals in Milk - (000 nos.) - 2008-09,No. of Animals in Milk - (000 nos.) - 2009-10,No. of Animals in Milk - (000 nos.) - 2010-11,No. of Animals in Milk - (000 nos.) - 2011-12,No. of Animals in Milk - (000 nos.) - 2012-13,Average Yield per Animal in Milk - (kg/day) - 2008-09,Average Yield per Animal in Milk - (kg/day) - 2009-10,Average Yield per Animal in Milk - (kg/day) - 2010-11,Average Yield per Animal in Milk - (kg/day) - 2011-12,Average Yield per Animal in Milk - (kg/day) - 2012-13,Estimates of Milk Production - (000 tonnes) - 2008-09,Estimates of Milk Production - (000 tonnes) - 2009-10,Estimates of Milk Production - (000 tonnes) - 2010-11,Estimates of Milk Production - (000 tonnes) - 2011-12,Estimates of Milk Production - (000 tonnes) - 2012-13
1,Andhra Pradesh,1427.73,1543.33,1613.56,1690.13,1605.44,1.78,1.83,1.92,1.93,2.05,925.51,1029.18,1128.43,1196.35,1198.34
2,Arunachal Pradesh,43.87,44.75,45.93,26.25,27.26,1.15,1.21,1.28,1.20,1.21,18.41,19.76,21.49,11.53,12.04
3,Assam,1355.00,1299.00,1326.00,1273.00,1227.00,0.94,0.95,0.93,0.93,0.95,462.43,451.38,447.69,432.84,426.81
4,Bihar,1889.00,1905.00,2099.00,2143.00,2211.01,2.89,2.91,2.85,2.86,2.87,1991.23,2023.47,2179.65,2246.00,2318.85
5,Chhattisgarh,1432.26,1475.69,1408.31,1472.64,1508.44,0.93,0.96,1.09,1.15,1.18,486.70,514.39,561.84,618.22,650.79
6,Goa,16.91,16.93,16.98,14.28,13.87,1.68,1.41,1.50,1.34,1.63,10.39,8.73,9.29,7.00,8.23
7,Gujarat,1395.17,1423.29,1445.47,1462.98,1510.94,3.63,3.68,3.75,3.85,3.95,1850.57,1911.76,1978.49,2058.80,2176.75
8,Haryana,231.95,220.52,217.44,206.57,196.45,4.60,4.68,4.77,4.91,5.07,389.45,376.37,378.49,371.29,363.17
9,Himachal Pradesh,295.44,282.85,272.83,265.05,269.18,1.57,1.52,1.53,1.60,1.62,168.76,156.93,152.06,155.41,159.46
10,Jammu and Kashmir,289.80,287.10,264.50,248.00,254.82,2.58,2.60,2.61,2.60,2.63,272.59,272.67,251.49,236.00,244.58
11,Jharkhand,1215.31,1123.09,1111.29,1376.19,1465.11,1.59,1.57,1.71,1.77,1.55,705.75,644.82,695.24,893.54,826.21
12,Karnataka,1475.77,1496.07,1553.00,1625.01,1657.70,2.23,2.24,2.28,2.30,2.32,1199.59,1222.64,1291.84,1368.53,1403.67
13,Kerala,144.50,45.30,30.07,26.00,11.50,2.68,2.37,2.09,1.85,2.03,141.24,39.25,22.91,17.60,8.52
14,Madhya Pradesh,3690.00,3754.80,3876.50,3919.50,3931.10,1.80,1.86,1.89,2.15,2.34,2425.68,2547.76,2669.96,3077.08,3357.55
15,Maharashtra,1943.00,1971.00,1977.00,1980.00,1998.00,1.50,1.61,1.70,1.76,1.80,1065.92,1154.66,1229.61,1276.89,1312.69
16,Manipur,46.05,46.03,46.29,46.55,46.71,1.43,1.43,1.43,1.41,1.43,24.09,23.99,24.18,23.95,24.35
17,Meghalaya,103.87,104.73,105.73,106.54,108.11,0.75,0.75,0.76,0.76,0.77,28.43,28.67,29.25,29.64,30.38
18,Mizoram,5.30,5.52,5.49,2.92,2.91,1.54,1.57,1.56,1.45,1.54,2.99,3.15,3.12,1.55,1.64
19,Nagaland,15.08,14.40,14.18,14.00,13.25,1.34,1.87,1.74,1.86,1.86,7.40,9.83,9.01,9.60,9.00
20,Odisha,1624.63,1655.00,1703.00,1749.00,1397.00,1.12,1.17,1.14,1.15,1.47,664.15,706.77,711.10,736.15,749.56
21,Punjab,118.95,132.51,136.96,139.63,127.83,6.01,5.64,6.50,6.52,6.52,261.07,272.78,325.00,333.36,304.20
22,Rajasthan,2854.00,2924.00,2994.81,2947.00,3051.00,3.48,3.68,3.77,3.54,3.67,3625.00,3927.00,4119.92,3983.00,4083.63
23,Sikkim #,12.22,12.22,12.22,12.00,11.51,2.01,1.83,1.86,1.94,1.78,8.98,8.18,8.28,9.00,7.48
24,Tamil Nadu,759.00,756.00,842.00,823.00,725.00,2.77,2.78,2.52,2.58,2.72,767.39,767.11,774.16,776.54,719.25
25,Tripura,145.75,150.70,154.54,156.62,112.39,1.12,1.14,1.15,1.20,1.25,59.58,62.70,64.87,68.79,51.28
26,Uttar Pradesh,3763.87,3862.00,3962.86,4369.39,4515.22,2.52,2.54,2.56,2.57,2.57,3466.13,3574.82,3708.68,4103.54,4242.09
27,Uttarakhand,396.33,437.92,438.92,445.26,457.25,1.90,1.87,1.88,1.90,1.93,275.14,299.54,300.54,309.47,322.11
28,West Bengal,3106.49,3164.00,3228.00,3300.00,3377.00,2.01,1.83,1.86,1.89,1.91,2282.48,2116.86,2186.78,2281.53,2357.97
29,AandN Islands,12.00,12.00,12.00,9.00,6.00,2.91,2.42,2.72,2.88,2.70,12.75,10.60,11.91,9.49,5.91
30,Chandigarh,0.63,0.75,0.62,0.52,0.54,3.02,3.27,2.80,2.97,2.97,0.70,0.90,0.63,0.57,0.59
31,D.and N. Haveli #,5.55,5.55,5.55,5.50,5.97,3.63,3.68,3.75,3.80,3.75,7.36,7.45,7.59,7.60,8.18
32,Daman and Diu #,0.56,0.56,0.56,0.60,0.69,3.63,3.68,3.75,3.80,2.64,0.75,0.76,0.77,0.80,0.66
33,Delhi #,23.75,23.75,23.75,23.80,23.28,4.60,4.68,4.77,4.81,3.99,39.88,40.54,41.35,41.90,33.90
34,Lakshadweep,0.53,0.55,0.55,0.60,0.44,3.00,3.00,3.00,3.00,3.30,0.58,0.60,0.60,0.70,0.53
35,Puducherry,1.47,1.71,1.71,1.00,1.00,2.47,2.57,2.54,2.52,2.56,1.32,1.60,1.59,1.00,0.94
Total,Total,29841.73,30198.61,30947.62,31881.52,31870.92,2.17,2.20,2.22,2.27,2.36,23650.38,24237.61,25347.82,26695.24,27421.30
