"States/UTs","Number of Animals in Milk ( 000 Nos) 2007-08","Number of Animals in Milk ( 000 Nos) 2008-09","Number of Animals in Milk ( 000 Nos) 2009-10","Number of Animals in Milk ( 000 Nos) 2010-11","Number of Animals in Milk ( 000 Nos) 2011-12","Average Yield per Animal in Milk ( Kg/day) 2007-08","Average Yield per Animal in Milk ( Kg/day) 2008-09","Average Yield per Animal in Milk ( Kg/day) 2009-10","Average Yield per Animal in Milk ( Kg/day) 2010-11","Average Yield per Animal in Milk ( Kg/day) 2011-12","Estimates of Milk Production (000 tonnes) 2007-08","Estimates of Milk Production (000 tonnes) 2008-09","Estimates of Milk Production (000 tonnes) 2009-10","Estimates of Milk Production (000 tonnes) 2010-11","Estimates of Milk Production (000 tonnes) 2011-12"
"Andhra Pradesh","143.00","148.00","155.00","181.00","203.00","0.10","0.10","0.10","0.10","0.10","0.40","0.40","0.10","1.00","1.00"
"Arunachal Pradesh ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Assam","556.00","538.00","500.00","374.00","459.00","0.12","0.12","0.12","0.17","0.13","25.00","24.00","22.00","23.00","22.00"
"Bihar","4481.00","3641.00","4419.00","2905.00","2888.00","0.13","0.15","0.14","0.15","0.17","216.00","197.00","219.00","158.00","177.00"
"Chhattisgarh","533.00","567.00","551.00","535.00","623.00","0.22","0.22","0.23","0.22","0.22","43.00","46.00","46.00","43.00","49.00"
"Goa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Gujarat","1745.00","1601.00","1578.00","1598.00","1587.00","0.39","0.40","0.40","0.40","0.42","248.00","234.00","231.00","236.00","241.00"
"Haryana","147.00","206.00","210.00","211.00","217.00","0.73","0.74","0.79","0.82","0.84","39.00","55.00","61.00","63.00","67.00"
"Himachal Pradesh","282.00","288.00","276.00","278.00","271.00","0.55","0.53","0.45","0.49","0.50","57.00","55.00","45.00","49.00","50.00"
"Jammu & Kashmir ","435.00","458.00","418.00","420.00","418.00","0.60","0.60","0.61","0.61","0.61","96.00","100.00","93.00","94.00","93.00"
"Jharkhand","1499.00","1474.00","1415.00","1368.00","1498.00","0.14","0.14","0.15","0.13","0.15","77.00","75.00","76.00","65.00","80.00"
"Karnataka","1517.00","1592.00","1612.00","1665.00","1727.00","0.09","0.09","0.09","0.09","0.09","49.00","51.00","53.00","56.00","58.00"
"Kerala","462.00","494.00","447.00","473.00","466.00","0.57","0.60","0.77","0.69","0.63","97.00","109.00","126.00","119.00","107.00"
"Madhya Pradesh","2957.00","2327.00","2362.00","2386.00","2390.00","0.45","0.47","0.48","0.49","0.59","491.00","395.00","417.00","427.00","519.00"
"Maharashtra","3454.00","3475.00","3502.00","3531.00","3570.00","0.21","0.22","0.22","0.21","0.22","265.00","278.00","282.00","273.00","293.00"
"Manipur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Meghalaya","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mizoram","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Nagaland","18.00","20.00","13.00","13.00","13.00","0.39","0.36","0.15","0.14","0.15","3.00","3.00","1.00","1.00","1.00"
"Orissa","58.00","53.00","65.00","68.00","81.00","0.11","0.12","0.12","0.13","0.11","2.00","2.00","3.00","3.00","3.00"
"Punjab","100.00","84.00","105.00","102.00","110.00","1.15","1.15","1.15","1.48","1.46","42.00","35.00","44.00","55.00","59.00"
"Rajasthan","6119.00","6524.00","6610.00","6992.00","7113.00","0.68","0.66","0.60","0.62","0.63","1523.00","1572.00","1448.00","1590.00","1641.00"
"Sikkim ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Tamil Nadu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Tripura","131.00","135.00","137.00","144.00","136.00","0.05","0.05","0.06","0.06","0.06","3.00","3.00","3.00","3.00","3.00"
"Uttar Pradesh","4099.00","4214.00","4313.00","4410.00","4256.00","0.73","0.73","0.74","0.74","0.75","1094.00","1129.00","1159.00","1193.00","1171.00"
"Uttarakhand","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"West Bengal","2500.00","2496.00","2813.00","2828.00","2843.00","0.12","0.12","0.13","0.14","0.14","108.00","111.00","135.00","140.00","146.00"
"A & N Islands","15.00","16.00","16.00","16.00","16.00","0.44","0.52","0.39","0.42","0.37","2.00","3.00","2.00","3.00","2.00"
"Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"D & N Haveli","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Daman & Diu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Delhi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Lakshadweep","5.00","5.00","5.00","4.00","4.00","0.50","0.50","0.50","0.50","0.50","1.00","1.00","1.00","1.00","1.00"
"Puducherry","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
