week,date,client_id,brand,region,demand,supply,quantity_sold,production_volume,price_per_unit,cost_per_unit,total_revenue,profit_margin,inventory_level,min_stock_threshold,reorder_quantity,disruption_prob,emission_factor,shelf_life_days,storage_condition
0,2015-01-05,1,Amul,Gujarat,1111,1149,998,1399,54.15,31.64,54041.7,0.4157,439,56.82,140.5,0.0749,1.38,5,Tetra Pack
1,2015-01-12,1,Amul,Gujarat,1091,1155,1008,1341,54.26,31.4,54694.08,0.4213,587,60.92,136.39,0.1117,1.151,5,Tetra Pack
2,2015-01-19,1,Amul,Gujarat,1127,1171,1058,1376,54.11,31.02,57248.38,0.4267,705,60.47,140.55,0.078,1.08,7,Refrigerated
3,2015-01-26,1,Amul,Gujarat,1177,1225,1074,1307,53.62,31.42,57587.88,0.414,864,56.41,159.07,0.0822,1.105,3,Polythene Packet
4,2015-02-02,1,Amul,Gujarat,1230,1276,1190,1374,53.58,30.98,63760.2,0.4218,957,58.31,136.91,0.3303,1.483,5,Tetra Pack
5,2015-02-09,1,Amul,Gujarat,1300,1356,1255,1380,54.3,31.96,68146.5,0.4114,1057,60.23,147.83,0.0844,1.505,3,Tetra Pack
6,2015-02-16,1,Amul,Gujarat,1177,1347,1070,1389,54.97,31.73,58817.9,0.4228,1200,64.3,159.24,0.0626,1.252,5,Polythene Packet
7,2015-02-23,1,Amul,Gujarat,1250,1450,1234,1394,53.98,31.21,66611.32,0.4218,1200,63.18,160.82,0.0759,1.14,3,Tetra Pack
8,2015-03-02,1,Amul,Gujarat,1181,1309,1085,1372,55.35,32.16,60054.75,0.419,1200,64.62,142.55,0.1025,1.312,5,Tetra Pack
9,2015-03-09,1,Amul,Gujarat,1417,1586,1287,1377,54.44,31.22,70064.28,0.4265,1200,57.38,156.85,0.0618,1.403,5,Refrigerated
10,2015-03-16,1,Amul,Gujarat,1398,1499,1261,1431,54.54,31.48,68774.94,0.4228,1200,61.45,140.23,0.0776,1.324,5,Tetra Pack
11,2015-03-23,1,Amul,Gujarat,1198,1286,1149,1412,54.61,32.07,62746.89,0.4127,1200,55.93,161.92,0.0835,1.339,7,Refrigerated
12,2015-03-30,1,Amul,Gujarat,1132,1267,1007,1441,54.64,31.48,55022.48,0.4239,1200,61.52,141.73,0.0971,1.376,7,Tetra Pack
13,2015-04-06,1,Amul,Gujarat,1170,1298,1109,1429,54.33,31.29,60251.97,0.4241,1200,64.73,146.79,0.0948,1.221,7,Refrigerated
14,2015-04-13,1,Amul,Gujarat,1348,1398,1303,1389,53.87,31.39,70192.61,0.4173,1200,55.15,162.85,0.0604,1.398,5,Polythene Packet
15,2015-04-20,1,Amul,Gujarat,1105,1150,1046,1361,54.41,31.67,56912.86,0.4179,1200,61.15,164.7,0.0854,1.336,3,Tetra Pack
16,2015-04-27,1,Amul,Gujarat,1264,1328,1156,1456,54.49,31.76,62990.44,0.4171,1200,62.98,154.5,0.0707,1.776,7,Refrigerated
