week,date,client_id,brand,region,demand,supply,quantity_sold,production_volume,price_per_unit,cost_per_unit,total_revenue,profit_margin,inventory_level,min_stock_threshold,reorder_quantity,disruption_prob,emission_factor,shelf_life_days,storage_condition
0,2015-01-05,2,Mother Dairy,Delhi,1458,1136,1288,716,55.93,35.01,72037.84,0.374,82,71.1,182.56,0.2239,1.968,2,Tetra Pack
1,2015-01-12,2,Mother Dairy,Delhi,1458,1346,1369,537,55.62,34.81,76143.78,0.3741,69,70.32,192.16,0.161,1.844,1,Tetra Pack
2,2015-01-19,2,Mother Dairy,Delhi,1367,1097,1095,612,56.35,35.16,61703.25,0.376,12,74.74,184.9,0.2229,1.844,2,Tetra Pack
3,2015-01-26,2,Mother Dairy,Delhi,1634,1310,1263,604,56.3,34.66,71106.9,0.3844,48,72.78,183.26,0.1651,1.924,3,Tetra Pack
4,2015-02-02,2,Mother Dairy,Delhi,1591,1451,1370,626,56.51,34.83,77418.7,0.3836,90,74.51,165.67,0.1419,2.094,1,Polythene Packet
5,2015-02-09,2,Mother Dairy,Delhi,1497,1398,1378,523,57.17,35.31,78780.26,0.3824,91,68.76,175.9,0.1769,1.364,1,Tetra Pack
6,2015-02-16,2,Mother Dairy,Delhi,1570,1401,1366,686,55.95,34.96,76427.7,0.3752,149,65.4,167.84,0.1873,1.676,1,Tetra Pack
7,2015-02-23,2,Mother Dairy,Delhi,1562,1416,1442,640,56.63,35.4,81660.46,0.3749,90,68.78,174.5,0.1583,1.72,2,Tetra Pack
8,2015-03-02,2,Mother Dairy,Delhi,1636,1541,1509,578,56.27,35.13,84911.43,0.3757,96,66.74,187.82,0.1549,1.744,1,Tetra Pack
9,2015-03-09,2,Mother Dairy,Delhi,1368,1148,1204,516,56.82,35.32,68411.28,0.3784,60,68.6,168.77,0.1265,1.46,2,Tetra Pack
10,2015-03-16,2,Mother Dairy,Delhi,1479,1272,1259,604,57.46,35.82,72342.14,0.3766,42,72.1,185.32,0.1314,1.895,1,Tetra Pack
11,2015-03-23,2,Mother Dairy,Delhi,1503,1422,1428,599,57.53,35.59,82152.84,0.3814,74,65.86,170.5,0.1814,1.925,2,Tetra Pack
12,2015-03-30,2,Mother Dairy,Delhi,1828,1548,1448,680,57.06,35.17,82622.88,0.3836,224,70.1,177.67,0.1812,1.862,2,Tetra Pack
13,2015-04-06,2,Mother Dairy,Delhi,1757,1582,1549,675,56.95,35.07,88215.55,0.3842,274,71.18,184.33,0.1384,1.91,1,Refrigerated
14,2015-04-13,2,Mother Dairy,Delhi,1752,1539,1612,554,57.01,34.54,91900.12,0.3941,148,65.29,183.15,0.1543,1.799,2,Tetra Pack
15,2015-04-20,2,Mother Dairy,Delhi,1718,1464,1553,590,56.63,34.69,87946.39,0.3874,55,72.44,183.58,0.1396,2.028,3,Tetra Pack
16,2015-04-27,2,Mother Dairy,Delhi,1805,1379,1397,514,56.76,35.58,79293.72,0.3732,33,74.68,187.59,0.1297,1.588,3,Tetra Pack
17,2015-05-04,2,Mother Dairy,Delhi,1579,1273,1199,600,56.62,34.57,67887.38,0.3894,98,67.33,178.6,0.2272,1.89,2,Refrigerated
18,2015-05-11,2,Mother Dairy,Delhi,1587,1237,1293,498,55.41,34.75,71645.13,0.3729,26,70.76,177.7,0.1916,1.729,2,Tetra Pack
19,2015-05-18,2,Mother Dairy,Delhi,1646,1526,1427,590,55.73,34.61,79526.71,0.379,101,74.59,186.47,0.1656,1.87,2,Refrigerated
20,2015-05-25,2,Mother Dairy,Delhi,1823,1637,1723,632,56.47,35.72,97297.81,0.3675,0,65.04,172.25,0.1813,1.796,2,Tetra Pack
21,2015-06-01,2,Mother Dairy,Delhi,1558,1320,1169,583,55.9,35.09,65347.1,0.3723,133,70.72,172.61,0.1383,1.907,1,Tetra Pack
22,2015-06-08,2,Mother Dairy,Delhi,1458,1302,1364,569,55.28,34.26,75401.92,0.3802,38,67.7,171.21,0.1397,2.151,2,Tetra Pack
23,2015-06-15,2,Mother Dairy,Delhi,1418,1346,1237,671,54.97,34.63,67997.89,0.37,108,74.57,174.9,0.1476,2.106,3,Polythene Packet
24,2015-06-22,2,Mother Dairy,Delhi,1431,1256,1285,478,54.64,33.6,70212.4,0.3851,41,73.73,186.15,0.1617,1.794,1,Tetra Pack
